artistId	channelId	Recently Uploaded Videos	Upload Times
375	UC-PW0s5O1lsDN7YErjhdF7A	[u'SO2gfvHHMq0', u'WSt3lmzHVmQ', u'z6VGUFbaPNA', u'UPlJaCwf0SQ', u'3hrQICtBOTo']	[u'2014-12-09T17:11:58.000Z', u'2014-12-06T18:13:00.000Z', u'2014-12-03T20:50:24.000Z', u'2014-12-03T13:05:04.000Z', u'2014-12-03T13:04:49.000Z']
409	UC5C-Asy_myoWCkLEtZR72SA	[u'Ap6o4gaXK5Y', u'Yxiw7kfp9Tw', u'Nk1j2JY75J0']	[u'2014-11-07T15:07:25.000Z', u'2014-11-04T14:47:06.000Z', u'2014-09-17T17:17:46.000Z']
436	UC8gbK8uoqKhlACSeenUPkFQ	[u'NkiRR3T_3NY', u'W61oBjCe3vI', u'9f5uwwcOpB8', u'gzY2VdE_NXo', u'gS5SMdn3AB8']	[u'2014-10-10T23:09:04.000Z', u'2014-09-27T02:46:41.000Z', u'2014-09-27T02:46:28.000Z', u'2014-09-27T02:45:59.000Z', u'2014-09-27T02:45:36.000Z']
453	UCZn4_LiKXOu-ArkS4sJTG5w	[u'8aviqscNPS8', u'B5J7GfzGBd8', u'5j51iBR5yX4', u'QuMqDF0PFZA', u'8pMLxnM6veA']	[u'2013-04-26T09:48:06.000Z', u'2013-03-06T11:13:20.000Z', u'2013-03-06T11:13:09.000Z', u'2013-03-06T11:13:00.000Z', u'2013-03-06T11:12:47.000Z']
510	UC_CesHljcdf4IdW_ZUs4aRg	[u'smBiWA_t6jA', u'w5VEojXFtyI', u'YvP-1Se-QK0']	[u'2014-12-10T06:45:26.000Z', u'2014-12-09T16:16:14.000Z', u'2013-11-09T22:51:07.000Z']
535	UCSFyi8cWQ3mDxOagkSfMEXA	[u'AJAYQ2rrkdQ', u'TEP6ND1JZLc', u'Fc4E98OFfqI']	[u'2009-04-16T14:44:12.000Z', u'2008-10-21T19:00:20.000Z', u'2009-04-25T00:30:32.000Z']
571	UCym4vsGr6gZYlOMkgLjcKhA	[u'0S7qa7oJzPg', u'7uuknX5goNg', u'Qn9dev5LH4c', u'FWmMPJOypco', u'toepjZbfQMk']	[u'2014-09-23T09:23:52.000Z', u'2012-10-12T07:00:08.000Z', u'2012-03-05T07:28:46.000Z', u'2012-02-28T06:34:54.000Z', u'2012-02-28T06:23:32.000Z']
634	UCeMyXnTZGlK3acmklhuPBiA	[u'ywBPIj0CNd4', u'Fqv1huGs4ic', u'pHdApc2CMX4']	[u'2013-09-23T22:01:13.000Z', u'2013-09-20T20:13:00.000Z', u'2013-09-08T19:02:26.000Z']
679	UChv9FR8xwUxEkdBUVu4VUOw	[u'D8L_EqSz9M8', u'UWXv0-whZlo']	[u'2014-10-03T16:32:53.000Z', u'2014-09-30T10:53:14.000Z']
735	UCxD2f0Xh4WlcKJO9W8nIOWA	[u'oxVVm75k_8Q', u'O74VPntTgw4']	[u'2014-04-04T22:19:21.000Z', u'2012-11-09T00:50:28.000Z']
753	UC_Ba7HXx5mtLlXLcpoWV4sA	[]	[]
851	UCjMI6Jhz6i608_B2pvYNrfg	[u'Iu6jX4DFMBg', u'erhsY87iCtY', u'UVotaaMw-64', u'xE_4AqtLw4g', u'sAZCJGViEUg']	[u'2014-12-13T13:40:45.000Z', u'2014-12-13T13:40:39.000Z', u'2014-12-13T13:40:36.000Z', u'2014-12-13T13:40:35.000Z', u'2014-12-13T13:40:26.000Z']
935	UCRhHyE_GCFm86CEKu_NF6rg	[u'hqk1roILb2k', u'rPmH9VVszsg']	[u'2007-11-02T21:06:59.000Z', u'2007-11-02T20:41:54.00artistId	channelId	Recently Uploaded Videos	Upload Times
23	UCl3cUK6lPXyKDhsthllx4rw	[u'zZrvvxeYGYE', u'D6itFMuO6Os']	[u'2011-10-18T19:17:31.000Z', u'2011-10-18T18:55:55.000Z']
43	UCzGrGrvf9g8CVVzh_LvGf-g	[u'0Rh5QGDmkyI', u'yY5ov_IYaAs']	[u'2014-11-24T17:55:00.000Z', u'2013-09-24T07:00:11.000Z']
72	UClS0wn3LPs9jdX_yt2g1k8w	[u'Q1nq-EBEwR8', u'5BYNma9wxxw', u'kMCGvtlL4fw', u'ILu-XU3vAuk']	[u'2014-10-29T16:53:38.000Z', u'2014-05-19T16:01:00.000Z', u'2014-03-15T09:59:51.000Z', u'2014-02-28T23:00:06.000Z']
102	UCbJG1HvzgzaMe_15xfiUyWw	[u'qy0UjKeuJKI', u'tMnMAxPGU3o']	[u'2014-12-13T13:35:28.000Z', u'2014-12-11T13:12:01.000Z']
133	UC8vzbjthwDMK8dAHEte6eMQ	[u'HRiVuqeaUmM', u'U_SCfhau_W0', u'xeIu0xcFpTk']	[u'2014-12-08T16:32:22.000Z', u'2014-05-01T19:30:01.000Z', u'2014-04-23T19:30:01.000Z']
160	UCc4K7bAqpdBP8jh1j9XZAww	[u'7HGfhl65tWc', u'x7Y6txDZETY', u'9XTzU4mfNAw', u'TH9yK9UVy_w', u'uhXRqo3z6-g']	[u'2014-12-09T16:46:22.000Z', u'2014-09-18T08:37:58.000Z', u'2014-09-18T08:22:53.000Z', u'2014-09-18T08:22:25.000Z', u'2014-09-11T10:18:11.000Z']
197	UC6ly_u2ufiHGpYzC_28-8zw	[u'duXBU7gB_-0', u'pjnKoSAGRoc', u'1AHFfTUzqe8', u'crBuCEthLJw', u'-8lkwTgkea4']	[u'2014-12-09T20:12:39.000Z', u'2014-11-21T16:46:57.000Z', u'2014-10-14T22:14:37.000Z', u'2014-08-20T00:29:16.000Z', u'2014-07-03T15:17:48.000Z']
208	UCjvwoDIrMmlSOINUPZWM3CA	[u'XgtJHI2Sx08', u'61th_2crgIU', u'TLmmG2dTWts', u'tH8oU42Ht4w', u'IuSorIhpj_E']	[u'2013-11-29T08:00:02.000Z', u'2013-11-29T08:00:01.000Z', u'2013-09-10T19:40:00.000Z', u'2013-09-10T16:56:08.000Z', u'2013-09-10T16:49:20.000Z']
219	UCXQtyZ6gWbOYR5B8Sc2sr3g	[]	[]
